group_ic4fq86/STATE,LGABAYELSA,LGADELTA,LGAEDO,LGARIVERS,Type of Sub project Enterprise,CROP PRODUCTION,FISHERY,LIVESTOCK,POULTRY,PROCESSING,MARKETING,RURAL INFRASTRUCTURE,FORESTRY,Total Cost of Sub Project,IDA Amount,Beneficiary Contribution,Total Amount Disbursed,Date of disbursement
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1350000,950000,400000,950000,30/04/2015
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1380000,971000,409000,971000,29/04/2015
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1300000,915000,385000,915000,29/04/2015
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1380000,971000,409000,971000,01/05/2014
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1350000,950000,400000,950000,01/05/2014
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1320000,929000,391000,929000,01/05/2014
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1384000,973000,411000,973000,01/05/2014
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,29/09/2017
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1350000,950000,400000,950000,01/05/2014
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1268571,893000,375571,893000,01/05/2014
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,29/09/2017
bayelsa,yenegoa,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,29/09/2017
delta,n/a,burutu,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,3150000,2295000,855000,2295000,18/08/2017
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,29/09/2017
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,922664,654964,267700,654964,27/09/2017
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,922664,654964,267700,654964,27/09/2017
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,923564,654964,267000,654964,27/09/2017
delta,n/a,bomadi,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,4620000,3024000,1596000,3024000,15/01/2018
edo,n/a,n/a,oredo,n/a,fishery,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,928000,634000,294000,634000,16/08/2018
edo,n/a,n/a,ovia south eas,n/a,crop productio,oil palm,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1200000,624000,576000,624000,20/03/2017
edo,n/a,n/a,ovia south eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,890000,563000,327000,563000,20/03/2017
edo,n/a,n/a,ovia south eas,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,936000,655200,280800,936000,20/03/2017
edo,n/a,n/a,ovia south eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,890000,563000,327000,563000,20/03/2017
edo,n/a,n/a,ovia south eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,890000,563000,327000,563000,20/03/2017
edo,n/a,n/a,ovia south eas,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,198600,132000,66580,132000,09/06/2014
edo,n/a,n/a,ovia south eas,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,440000,308000,132000,440000,09/06/2014
edo,n/a,n/a,ovia south eas,n/a,processing,n/a,n/a,n/a,n/a,palm oil proce,n/a,n/a,n/a,500000,350000,150000,350000,09/06/2014
edo,n/a,n/a,ovia south eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,191600,130120,61480,130120,09/06/2014
edo,n/a,n/a,ovia south eas,n/a,crop productio,others,n/a,n/a,n/a,n/a,n/a,n/a,n/a,199200,130400,68800,130400,09/06/2014
edo,n/a,n/a,ovia south eas,n/a,crop productio,maize,n/a,n/a,n/a,n/a,n/a,n/a,n/a,221800,146660,75140,146660,09/06/2014
edo,n/a,n/a,oredo,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,930000,631000,299000,631000,16/08/2018
edo,n/a,n/a,oredo,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,329500,210650,118850,210650,16/06/2015
edo,n/a,n/a,oredo,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,950000,665000,285000,665000,16/08/2018
edo,n/a,n/a,oredo,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,850000,543000,307000,543000,16/08/2018
edo,n/a,n/a,ovia north eas,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,690000,453000,237000,453000,06/09/2016
edo,n/a,n/a,ovia north eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,549000,371800,177200,371800,06/09/2016
edo,n/a,n/a,ovia north eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,549000,371800,177200,371800,06/09/2016
edo,n/a,n/a,ovia north eas,n/a,processing,n/a,n/a,n/a,n/a,palm oil proce,n/a,n/a,n/a,700000,490000,210000,490000,06/09/2016
edo,n/a,n/a,ovia north eas,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,690000,453000,237000,453000,06/09/2016
edo,n/a,n/a,ovia north eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,549000,371800,177200,371800,06/09/2016
edo,n/a,n/a,ovia north eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,650000,445000,205000,445000,06/09/2016
delta,n/a,ika north east,n/a,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,others,4704200,3053500,1650700,3053500,05/09/2018
delta,n/a,ika north east,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4292500,2762750,1529750,2762750,05/09/2018
delta,n/a,ika north east,n/a,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,1259800,1259800,0,1259800,05/09/2018
delta,n/a,ika north east,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4292500,2762750,1529750,2762750,05/09/2018
delta,n/a,ika north east,n/a,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,2837500,2064250,773250,2064250,05/09/2018
edo,n/a,n/a,ikpoba okha,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,780000,546000,234000,546000,16/06/2015
edo,n/a,n/a,oredo,n/a,poultry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,643500,451850,191650,451850,09/04/2019
edo,n/a,n/a,orhionmwon,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,806000,512200,293800,512200,08/03/2017
edo,n/a,n/a,ikpoba okha,n/a,processing,n/a,n/a,n/a,n/a,others,n/a,n/a,n/a,80800,565600,242400,565600,16/06/2015
edo,n/a,n/a,ikpoba okha,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,780000,546000,234000,546000,16/06/2015
edo,n/a,n/a,orhionmwon,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,806000,512200,293800,512200,08/03/2017
delta,n/a,ika north east,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,others,4292500,2762750,1529750,2762750,05/09/2018
delta,n/a,ika north east,n/a,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,others,2837500,2064250,773250,2064250,05/09/2018
delta,n/a,ika north east,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4292500,2762750,1529750,2762750,05/09/2018
delta,n/a,ika north east,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4292500,2762750,1529750,2762750,05/09/2018
delta,n/a,oshimili north,n/a,n/a,crop productio,pepper tomato,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4568000,2984000,1584000,2984000,03/10/2018
delta,n/a,oshimili north,n/a,n/a,crop productio,pepper tomato,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4568000,2984000,1584000,2984000,03/10/2018
edo,n/a,n/a,ikpoba okha,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,458000,320600,137400,320600,16/06/2015
edo,n/a,n/a,ikpoba okha,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1033000,625500,407500,625500,16/08/2018
edo,n/a,n/a,orhionmwon,n/a,processing,n/a,n/a,n/a,n/a,palm oil proce,n/a,n/a,n/a,2600000,1820000,780000,1820000,08/03/2017
edo,n/a,n/a,orhionmwon,n/a,crop productio,oil palm,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1140000,631000,509000,631000,08/03/2017
edo,n/a,n/a,orhionmwon,n/a,processing,n/a,n/a,n/a,n/a,palm oil proce,n/a,n/a,n/a,1750000,1225000,525000,1225000,08/03/2017
edo,n/a,n/a,orhionmwon,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,806000,512200,293800,512200,08/03/2017
delta,n/a,oshimili north,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,water scheme,n/a,6655250,5989725,665525,5676928.26,08/04/2019
delta,n/a,oshimili south,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,4242900,2772100,1470800,2772100,27/11/2018
delta,n/a,oshimili south,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,4404150,2947100,1457050,2947100,27/11/2018
edo,n/a,n/a,oredo,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,301000,180700,120300,180700,16/06/2015
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,857000,649500,207500,649500,29/08/2014
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,857000,649500,207500,649500,29/08/2014
bayelsa,owan west,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,cargo boat,n/a,3340000,3006000,334000,3006000,16/10/2014
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,857000,649500,207500,649500,29/08/2014
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,857000,649500,207500,649500,29/08/2014
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,857000,649500,207500,649500,29/08/2014
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,857000,649500,207500,649500,29/08/2014
delta,n/a,oshimili north,n/a,n/a,crop productio,cashew nut,n/a,n/a,n/a,n/a,n/a,n/a,others,4568000,2984000,1584000,2984000,03/10/2018
delta,n/a,oshimili north,n/a,n/a,crop productio,pepper tomato,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4568000,2984000,1584000,2984000,03/10/2018
delta,n/a,oshimili north,n/a,n/a,crop productio,pepper tomato,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4568000,2984000,1584000,2984000,03/10/2018
delta,n/a,oshimili north,n/a,n/a,crop productio,pepper tomato,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4568000,2984000,1584000,2984000,03/10/2018
delta,n/a,oshimili north,n/a,n/a,crop productio,pepper tomato,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4568000,2984000,1584000,2984000,03/10/2018
delta,n/a,oshimili north,n/a,n/a,crop productio,pepper tomato,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4568000,2984000,1584000,2984000,03/10/2018
delta,n/a,oshimili north,n/a,n/a,crop productio,pepper tomato,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4568000,2984000,1584000,2984000,03/10/2018
delta,n/a,oshimili north,n/a,n/a,crop productio,pepper tomato,n/a,n/a,n/a,n/a,n/a,n/a,others,4568000,2984000,1584000,2984000,03/10/2018
delta,n/a,oshimili south,n/a,n/a,crop productio,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4041000,2710500,1330500,2731500,27/11/2018
delta,n/a,oshimili south,n/a,n/a,crop productio,rice,n/a,n/a,n/a,n/a,n/a,n/a,others,2731500,2731500,1339500,2731500,27/11/2018
delta,n/a,oshimili south,n/a,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,3913000,2653100,1259900,2653100,27/11/2018
delta,n/a,oshimili south,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,others,3410000,2243000,1167000,2243000,27/11/2018
edo,n/a,n/a,egor,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,608000,386600,221400,386600,10/06/2014
edo,n/a,n/a,egor,n/a,crop productio,yam minisett,n/a,n/a,n/a,n/a,n/a,n/a,n/a,221000,138700,82300,138700,04/06/2014
edo,n/a,n/a,egor,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,226500,174450,92050,174450,10/06/2014
edo,n/a,n/a,egor,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,266500,174450,92050,174450,10/06/2014
edo,n/a,n/a,egor,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,235900,154830,81070,154830,10/06/2014
edo,n/a,n/a,egor,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,266500,174450,92050,174450,10/06/2014
delta,n/a,oshimili south,n/a,n/a,crop productio,rice,n/a,n/a,n/a,n/a,n/a,n/a,others,4041000,2710500,1330500,2710500,27/11/2018
edo,n/a,n/a,egor,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,461400,284080,177320,284080,10/06/2014
edo,n/a,n/a,egor,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,257500,169950,87550,169900,10/06/2014
edo,n/a,n/a,egor,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,266500,174450,92050,174450,10/06/2014
edo,n/a,n/a,egor,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,189500,120550,68950,120550,10/06/2014
edo,n/a,n/a,uhunmwonde,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,1286000,900200,385800,900200,16/08/2018
edo,n/a,n/a,uhunmwonde,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,805500,520350,285150,520350,16/08/2018
edo,n/a,n/a,oredo,n/a,processing,n/a,n/a,n/a,n/a,palm oil proce,n/a,n/a,n/a,900,630000,270000,630000,09/04/2019
edo,n/a,n/a,uhunmwonde,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1229500,650650,578850,650650,16/08/2018
edo,n/a,n/a,uhunmwonde,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,other,n/a,1583500,1425150,158350,1425150,16/08/2018
edo,n/a,n/a,uhunmwonde,n/a,processing,n/a,n/a,n/a,n/a,palm oil proce,n/a,n/a,n/a,1010000,707000,303000,707000,16/08/2018
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,875000,535500,339500,535500,16/08/2018
edo,n/a,n/a,uhunmwonde,n/a,livestock,n/a,n/a,goatry,n/a,n/a,n/a,n/a,n/a,635000,421500,213500,421500,06/09/2016
edo,n/a,n/a,uhunmwonde,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,122950,650650,578850,650650,16/08/2018
edo,n/a,n/a,uhunmwonde,n/a,crop productio,oil palm,n/a,n/a,n/a,n/a,n/a,n/a,n/a,643500,403950,239550,403950,06/09/2016
edo,n/a,n/a,uhunmwonde,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,704000,465000,237000,465000,06/09/2016
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,875000,535500,339500,535000,16/08/2018
delta,n/a,ika north east,n/a,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,2922000,2123400,798600,2123400,16/04/2019
delta,n/a,ika north east,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,4312000,2856400,1455600,2856400,02/07/2019
delta,n/a,ika north east,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2945000,2067500,877500,2067500,02/07/2019
edo,n/a,n/a,oredo,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,802000,549400,252600,549400,09/04/2019
edo,n/a,n/a,oredo,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,662000,451400,210600,451400,09/04/2019
delta,n/a,ika north east,n/a,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,4226000,2758200,1467800,2758200,07/02/2019
delta,n/a,ika north east,n/a,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,2922000,2123400,798600,2123400,16/04/2019
edo,n/a,n/a,oredo,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,1000500,632950,367550,632950,16/06/2015
edo,n/a,n/a,oredo,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,850000,543000,307000,543000,06/07/2017
edo,n/a,n/a,oredo,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,others,n/a,4357920,4161420,462380,4161420,11/06/2015
edo,n/a,n/a,oredo,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,942000,629400,312600,629400,16/08/2018
edo,n/a,n/a,oredo,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,580000,316000,264000,316000,16/06/2015
edo,n/a,n/a,oredo,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,294000,182900,111100,182900,16/06/2015
edo,n/a,n/a,oredo,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,949000,636300,312700,636300,06/07/2017
edo,n/a,n/a,oredo,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,980000,664000,316000,664000,16/08/2018
edo,n/a,n/a,oredo,n/a,processing,n/a,n/a,n/a,n/a,palm oil proce,n/a,n/a,n/a,1515000,1060500,454500,1060500,06/07/2017
edo,n/a,n/a,oredo,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,715000,457500,257500,457500,06/07/2017
edo,n/a,n/a,oredo,n/a,crop productio,others,n/a,n/a,n/a,n/a,n/a,n/a,others,865000,532500,332500,532500,06/07/2017
edo,n/a,n/a,oredo,n/a,crop productio,vegetable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,780000,508000,272000,508000,06/07/2017
edo,n/a,n/a,oredo,n/a,crop productio,water melon,n/a,n/a,n/a,n/a,n/a,n/a,n/a,856500,562000,294500,562000,06/07/2017
edo,n/a,n/a,oredo,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,850000,543000,307000,543000,06/07/2017
edo,n/a,n/a,oredo,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,850000,543000,307000,543000,06/07/2017
edo,n/a,n/a,oredo,n/a,crop productio,pepper tomato,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1065000,711500,353500,711500,06/07/2017
edo,n/a,n/a,oredo,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,1118700,783090,335610,783090,16/06/2015
edo,n/a,n/a,oredo,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,792500,512000,280500,512000,09/04/2019
edo,n/a,n/a,uhunmwonde,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,1460000,1022000,438000,1022000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,912000,573000,297000,573000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,1110000,777000,333000,777000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,773000,587000,303000,587000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,547500,364750,182750,364750,10/07/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,500000,301000,199000,301000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,932600,560000,310000,560000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,500000,301000,199000,301000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,977000,791000,339000,791000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,others,n/a,n/a,n/a,n/a,n/a,n/a,n/a,802000,561400,240600,802000,10/07/2015
edo,n/a,n/a,uhunmwonde,n/a,processing,n/a,n/a,n/a,n/a,others,n/a,n/a,n/a,1166400,869400,372600,869400,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,460000,282000,178000,282000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,486000,300000,170000,486000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,870000,573000,297000,573000,16/06/2015
delta,n/a,ethiope east,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,4711400,3077550,1633850,3077550,06/02/2019
delta,n/a,ethiope east,n/a,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,4215400,2829550,1385850,2829550,06/02/2019
delta,n/a,ethiope east,n/a,n/a,crop productio,pepper tomato,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4611900,3027900,1584000,3027900,06/02/2019
edo,n/a,n/a,oredo,n/a,livestock,n/a,n/a,grass cutter r,n/a,n/a,n/a,n/a,n/a,249700,158030,91670,158030,16/06/2015
edo,n/a,n/a,oredo,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,832000,568400,263600,568400,09/04/2019
edo,n/a,n/a,oredo,n/a,poultry,n/a,n/a,n/a,turkey,n/a,n/a,n/a,n/a,687500,457350,230150,457350,09/04/2019
edo,n/a,n/a,oredo,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,197000,115000,82000,115000,16/06/2015
edo,n/a,n/a,oredo,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,817000,571900,245100,571900,09/04/2019
delta,n/a,ethiope east,n/a,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,4215400,2829550,1385850,2829550,06/02/2019
