group ic4fq86/STATE,LGABAYELSA,LGADELTA,LGAEDO,LGARIVERS,Description of Sub project Component,Location of Sub Project,Status of Project,Physical Output,Name of Contractor,Contractor Amount,Beneficiary Wages,calculation,Amount Disbursed Till Date,1st Picture of Site,,Number of Male Beneficiaries,Number of female Beneficiaries,Number of Beneficiaries Present on Site,Are there working ma ls for Beneficiaries,Are the PPEs adequate for Beneficiaries,Have Beneficiaries Received th,Reasons for no Payment,Percentage Level of Work Done
edo,n/a,n/a,oredo,n/a,DRAINAGE CONSTRUCTION,COOKE ROAD ,completed,DRAINAGE DONE,J AND OMOGIATE LIMITED,2.28E+07,1.60E+07,3.87E+07,38738562,1568647928413.jpg,1568647962810.jpg,43,57,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY,1ST AND 2ND OFUWEGBE STREET BENIN CITY,completed,ASPHALT OVERLAY DONE,SEAHAWK SOLUTION LOGISTICS ,2.10E+07,1.73E+07,3.83E+07,38280345,1568641792947.jpg,1568641826618.jpg,37,43,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY,EVBIEMWEN ROAD OFF WIRE ROAD BENIN CITY,completed,ASPHALT OVERLAY DONE,WATERMARGIN NIGERIA LIMITED,1.81E+07,1.30E+07,3.11E+07,31105155,1568640874436.jpg,1568640896488.jpg,43,57,0,yes,yes,yes,n/a,100
edo,n/a,n/a,n/a,n/a,ASPHALT OVERLAY,JAMES WATT ROAD,completed,ASPHALT DONE,MACKFRANKLYN ENGINEERING SERVICES,2.56E+07,1.30E+07,3.86E+07,38586377,1568647155990.jpg,1568647187284.jpg,44,56,0,yes,yes,yes,n/a,100
edo,n/a,n/a,egor,n/a,DRAINAGE CONSTRUCTION,EBO STREET USELU,completed,CONCRETE DRAIN DONE,JEZUWA NIGERIA LIMITED,3.01E+07,2.18E+07,5.19E+07,51949375,1568637128483.jpg,1568637139712.jpg,53,48,0,yes,yes,yes,n/a,100
edo,n/a,n/a,ovia north eas,n/a,ASPHALT OVERLAY,AIBALEGBE STREET ISIOHOR FROM  NO 36 TO 56 BENIN CITY,completed,100,KASKAS ADVANCE LINK LIMITED,2.57E+07,1.30E+07,3.87E+07,38670195,1568635747791.jpg,1568634228931.jpg,35,45,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY,IMUETINYAN STREET BETWEEN  ST STEPHEN AND 3RD,completed,ASPHALT DONE,SALMA DEMAS VENTURES,3.24E+07,2.16E+07,5.40E+07,54021924,1568645082182.jpg,1568645095334.jpg,31,69,0,yes,yes,yes,n/a,100
edo,n/a,n/a,egor,n/a,ASPHALT OVERLAY,FRIENDSHIP STREET OFF OKHORO ROAD,completed,ASPHALT DONE,JEZUWA NIGERIA LIMITED,2.34E+07,2.16E+07,45017252,45017252,1568643316696.jpg,1568643334339.jpg,15,85,0,yes,yes,yes,n/a,100
edo,n/a,n/a,ovia north eas,n/a,ASPHALT OVERLAY AND KERBS,ENEHIZENA AND EFEDHOMA STREET OLUKU,completed,100%,3RD AUGUST ENGINEERING,4.45E+07,1.30E+07,57496694,57496694,1568631778617.jpg,1568631809487.jpg,60,90,0,yes,yes,yes,n/a,100
edo,n/a,n/a,n/a,n/a,ASPHALT OVERLAY,IYOBANOSA STREET USELU,completed,ASPHALT DONE,AIROS SYNERGY NIG LTD,3.13E+07,2.59E+07,5.72E+07,n/a,1568638556736.jpg,1568638585027.jpg,35,85,n/a,yes,yes,yes,n/a,100
edo,n/a,n/a,ovia south eas,n/a,ASPHALT OVERLAY AND DRAIN,UYIGUE STREET OFF MISSION ROAD IGUOBAZUWA,completed,100%,ELOHEEKANS LIMITED,1.30E+07,1.51E+07,2.81E+07,28073879,1568625793971.jpg,1568625812916.jpg,39,31,0,not sufficient,yes,yes,n/a,100
edo,n/a,n/a,ovia north eas,n/a,ASPHALT OVERLAY,AIBALEGBE STREET ISIHOR FROM NEW LAGOS ROAD TO NO 36 BENIN CITY,completed,COMPLETED ,MACFRANKLYN ENGINEERING SERVICES,2.46E+07,9720000,34296398,34296398,1568633795675.jpg,1568633837805.jpg,29,51,0,yes,yes,yes,n/a,100
edo,n/a,n/a,egor,n/a,ASPHALT OVERLAY,EBO STREET USELU,completed,ASPHALT OVERLAY DONE,VITO CONCEPT,2.35E+07,2.18E+07,4.53E+07,23506284,1568637139602.jpg,1568637164103.jpg,49,52,0,yes,yes,yes,n/a,100
edo,n/a,n/a,ikpoba okha,n/a,ASPHALT OVERLAY,BENSON IDAHOSA UNIVERSITY ACCESS ROAD,completed,ASPHALT COMPLETED,JEZUWA NIG LTD,3.08E+07,1.73E+07,4.80E+07,48032186,1568709181163.jpg,1568709219678.jpg,43,37,0,yes,yes,yes,n/a,100
edo,n/a,n/a,ikpoba okha,n/a,ASPHALT OVERLAY,BENSON IDAHOSA UNIVERSITY ACCESS ROAD OKHA,completed,ASPHALT COMPLETED,JEZUWA NIG LTD,2.75E+07,1.73E+07,44741369,4.47E+07,1568709234618.jpg,1568709260225.jpg,37,43,0,yes,yes,yes,n/a,100
edo,n/a,n/a,orhionmwon,n/a,ASPHALT OVERLAY AND DRAINAGE CONSTRUCTION,OMOLUA ROAD IGBANKE,completed,ASPHALT AND DRAINAGE COMPLETED,TURNERS CONSTRUCTION,4.15E+07,3.24E+07,7.39E+07,7.39E+07,1568716592977.jpg,1568716611212.jpg,52,88,0,yes,yes,yes,n/a,100
edo,n/a,n/a,orhionmwon,n/a,VEGETATION CONTROL DESILTING AND CLEANING,ABUDU TOWNSHIP ROAD,completed,COMPLETED,STEPTOUCH NIG LIMITED,1.08E+07,2.16E+07,3.24E+07,3.24E+07,1568715450663.jpg,1568715484636.jpg,46,54,0,yes,n/a,yes,n/a,100
edo,n/a,n/a,ikpoba okha,n/a,ASPHALT OVERLAY AND DRAINAGE,OSADIAYE STREET OFF ST SAVIOUR ROAD,completed,ASPHALT AND DRAINAGE DONE,ERYLASTON ,4.30E+07,3.41E+07,7.71E+07,7.71E+07,1568724422291.jpg,1568724535143.jpg,82,76,0,yes,yes,yes,n/a,100
delta,n/a,oshimili north,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY AND DRAINAGE,OSAGUONA TO GREEN HOUSE,completed,ASPHALT AND DRAINAGE DONE,J AND O OMOGIATE,2.25E+07,8640000,3.12E+07,3.12E+07,1568727735377.jpg,1568727746339.jpg,10,22,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY,MILLER TO OGHOWENYI,completed,ASPHALT DONE,SODOESO CONSTRUCTION,4.11E+07,3.35E+07,7.46E+07,7.46E+07,1568729372529.jpg,1568729383521.jpg,53,102,0,yes,yes,n/a,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY,REDEMPTION DRIVE BY WINNERS CHAPEL,completed,ASPHALT DONE,JEZUWA NIG LIMITED,4.20E+07,1.19E+07,5.39E+07,53922092,1568707782034.jpg,1568707803167.jpg,22,78,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY,EKIKALO EDOSOMWAN,completed,ASPHALT OVERLAY DONE,FRESH AFFAIRS LIMITED,3.00E+07,1.08E+07,40805136,4.08E+07,1568730424650.jpg,1568730440806.jpg,39,61,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY,JUSTIN OKONOBO DRIVE OFF EDOSOMWAN STREET UGBOR,completed,ASPHALT OVERLAY DONE,SEAHAWK SOLUTION AND LOGISTICS,2.72E+07,2.10E+07,4.82E+07,4.82E+07,1568731099541.jpg,1568731110677.jpg,35,62,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,LATERITE FILLING AND DRAINAGE,REUBEN AGHO STREET,completed,DRAINAGE DONE,HUNTTECO AND CO,1.98E+07,1.30E+07,3.28E+07,32781720,1568732610705.jpg,1568732620833.jpg,57,43,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY,OGUOLA STREET OFF OKADA AVENUE,completed,ASPHALT OVERLAY,HORSON NIG LTD,3.17E+07,1.04E+07,4.20E+07,42039228,1568733663197.jpg,1568733684525.jpg,38,62,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY,REUBEN AGHO STREET,completed,ASPHALT DONE,HUNTTECO AND CO,3.21E+07,1.30E+07,4.50E+07,45013260,1568732660529.jpg,1568732676192.jpg,47,53,0,yes,yes,n/a,n/a,0
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY AND DRAINAGE,NOSA EDUGIE AVENUE UGBOR,completed,ASPHALT AND DRAINAGE DONE,NOBLE VENTURE,3.61E+07,1.08E+07,4.69E+07,46872994,1568730731801.jpg,1568730744939.jpg,58,42,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,SPOT IMPROVEMENT AND CLEANING,MARIA GORRETI TO DUMEZ ROAD,completed,DONE,VITO CONCEPT,1.13E+07,2.38E+07,3.51E+07,n/a,1568726548913.jpg,1568726569226.jpg,50,70,0,yes,yes,yes,n/a,100
edo,n/a,n/a,n/a,n/a,ASPHALT OVERLAY AND DRAINAGE ,OGENE STREET BETWEEN SECOND AND THIRD,completed,ASPHALT AND DRAINAGE DONE,YONSUS GLOBAL VENTURES,2.87E+07,1.75E+07,4.61E+07,46146098,1568724972163.jpg,1568725000769.jpg,28,50,0,yes,yes,yes,n/a,100
edo,n/a,n/a,uhunmwonde,n/a,ASPHALT AND DRAINAGE CONSTRUCTION,SAW MILL ROAD IDOKPA OFF BENIN AUCHI ROAD,completed,WORK IS COMPLETED,SMOOTH ENGINEERING LTD,4.44E+07,3.91E+07,8.35E+07,n/a,1568723015126.jpg,1568723033953.jpg,100,100,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,DRAINAGE CONSTRUCTION,ZAKAWANU GARUBA ROAD IYEKOGBA HOUSING ESTATE BENIN CITY,completed,DRAINAGE DONE,PERO OIL AND GAS SERVICES LIMITED,3.10E+07,1.02E+07,4.11E+07,41134805,1568795741671.jpg,1568795755495.jpg,52,48,0,yes,yes,yes,n/a,100
delta,n/a,ika south,n/a,n/a,"SWEEPING OF TRAVELLED SURFACE ROAD, DRAIN CONTRUCTION AND VEGETATION CONTROL","ALONG OLD LAGOS/AGBOR ROAD FROM AGBOR OBI JUNCTION TO THE U-TURN BEFORE THE DRIDGE PHASE1 AND EFEZOMOR STREET, BOJI BOJI.",yet to commenc,n/a,CHEZ ENGINEERING SERVICES LIMITED,9235036.94,2.36E+07,3.28E+07,1.22E+07,1568975961132.jpg,1568975931610.jpg,52,40,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY,HORNY G AND DIVINE STREET OFF AIRPORT ROAD TO DOMINION ASSEMBLY CHURCh,completed,ASPHALT DONE,JEZUWA NIGERIA LIMITED,2.44E+07,2.16E+07,4.60E+07,4.60E+07,1568794671686.jpg,1568794694088.jpg,58,62,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,ASPHALT OVERLAY AND DRAINAGE,ESIGIE ROAD OFF EKHEWAN ROAD,completed,ASPHALT OVERLAY AND DRAINAGE DONE,MACFRANKLYN ENGINEERING ,3.71E+07,1.25E+07,4.96E+07,4.56E+07,1568798407299.jpg,1568798419023.jpg,70,50,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,DRAINAGE AND ASPHALT OVERLAY,OGBORU COMMUNITY ROAD OKO CENTRAL,completed,ASPHALT OVERLAY AND DRAINAGE DONE,CITI BROAD LIMITED,3.22E+07,1.97E+07,5.19E+07,5.19E+07,1568796887510.jpg,1568796954207.jpg,55,95,0,yes,yes,yes,n/a,100
edo,n/a,n/a,egor,n/a,ASPHALT AND DRAINAGE,LEADERS COLLEGE ROAD OFF UPPER EKHEWAN ROAD UGBIYOKO,completed,ASPHALT OVERLAY AND DRAINAGE DOME,SALMA DAMAS,4.24E+07,3.00E+07,72405864,7.24E+07,1568800575242.jpg,1568800597303.jpg,77,62,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,DRAINAGE AND ASPHALT OVERLAY,UNUERU STREET OFF SAKPOBA ROAD,completed,ASPHALT OVERLAY AND DRAINAGE DONE,KASKAS ADVANCE LINK,2.56E+07,2.16E+07,4.72E+07,4.72E+07,1568886598306.jpg,1568886611118.jpg,27,73,0,yes,yes,yes,n/a,100
edo,n/a,n/a,egor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
edo,n/a,n/a,n/a,n/a,SPOT IMPROVEMENT AND CLEANING ,OMORUYI CENTRAL AND OGBELAKA STREET,completed,DONE,MAS OGEYEMHE,2.84E+07,1.64E+07,4.48E+07,n/a,1568887060955.jpg,1568887080325.jpg,38,38,0,yes,yes,yes,n/a,100
edo,n/a,n/a,ovia north eas,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
edo,n/a,n/a,ovia north eas,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
edo,n/a,n/a,oredo,n/a,ROAD CLEANING SWEEPING AND DESILTATION,AIRPORT ROAD AKPAPAVA ROAd,completed,SWEEPING ROAD CLEANING AND DESILTATION DONE,FAZONE INTERNATIONAL LIMITED,3.11E+07,1.90E+07,5.02E+07,5.02E+07,1568887839140.jpg,1568887979285.jpg,28,60,0,yes,yes,yes,n/a,100
edo,n/a,n/a,egor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
edo,n/a,n/a,oredo,n/a,ROAD CLEANING SWEEPING AND DESILTATION,SAPELE ROAD FROM RING ROAD TO AGIP,completed,SWEEPING DONE,FAZONE INT LTD,2.94E+07,1.84E+07,4.78E+07,n/a,1568896669440.jpg,1568896754907.jpg,16,69,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,DRAINAGE AND CONCRETE PAVEMENT,OLIHA STREET OFF SAPELE BENIN CITY,completed,WORK COMPLETED,WILOM J,2.03E+07,2.16E+07,4.19E+07,41927607,1568886276272.jpg,1568886300595.jpg,21,79,0,yes,yes,yes,n/a,100
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,udu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,ika north east,n/a,n/a,SWEEPING OF TRAVELED SURFACE ROAD DRAIN CONSTRUCTION AND VEGETATION CONTROL,ALONG OLD LAGOS AGBOR OBI JUNCTION TO U TURN BEFORE THE BRIDGE PHASE 1 AND OLD ABRAKA ROAD FROM OLD LAGOS AGBOR ROAD TO OWANTA BOJI BOJI,completed,12 MONTHS ACTIVITIES THAT WILL INVOLVE SWEEPING OF SURFACE TRAVELLED ROAD SILTATION OF DRAINS AND VEGETATION CONTROL,PRISCO NGR SERVICES LTD,9049717.01,2.31E+07,3.21E+07,1.35E+07,1568975593803.jpg,1568975662498.jpg,30,60,0,n/a,n/a,n/a,n/a,100
rivers,n/a,n/a,n/a,ikwerre,"MAINTENANCE OF STATE SCHOOL 3 ROAD, OMERELU, IKWERE LGA",IKWERE LGA,completed,"CLEARING, FILLING AND COMPACTION OF SHARP RIVER SAND AND CONCRETING",CHIEFRANTON NIGERIA LTD,1.89E+07,1.34E+07,3.24E+07,3.24E+07,1572010314900.jpg,1572010460979.jpg,40,17,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,akuku toru,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
edo,n/a,n/a,n/a,n/a,SPOT IMPROVEMENT AND CLEANING ,OPOJI UHIELE ROAD EKPOMA,completed,JOB DONE,J AND O OMOGIATE LTD,1.84E+07,1.73E+07,3.57E+07,35679592,1569323807957.jpg,1569323916707.jpg,31,49,0,yes,yes,yes,n/a,100
edo,n/a,n/a,n/a,n/a,ASPHALT OVERLAY,AGBI STREET OFF BENIN AUCHI EXPRESS ROAD,completed,ASPHALT DONE,HAMSHERE,4.21E+07,3.48E+07,7.69E+07,76891255,1569321476685.jpg,1569321496321.jpg,65,96,0,yes,yes,yes,n/a,100
edo,n/a,n/a,esan central,n/a,DRAINAGE CONSTRUCTION,DISTRICT HOSPITAL ROAD USEGBENU IRRUA,completed,DRAINAGE DONE,YONSUS GLOBAL VENTURE,2.30E+07,1.30E+07,3.60E+07,36008653,1569327600314.jpg,1569327614121.jpg,31,29,0,yes,yes,yes,n/a,100
edo,n/a,n/a,igueben,n/a,VEGETATION CONTROL DESILTING AND CLEANING,IGUEBEN AGADAGA ROAD,completed,JOB DONE,KENZOK NIG LTD,9914973.38,2.16E+07,3.15E+07,n/a,1569331772415.jpg,1569331788145.jpg,62,38,0,yes,yes,yes,n/a,100
edo,n/a,n/a,igueben,n/a,DRAINAGE CONSTRUCTION,IDUMU OWABOMULEN STREET IGUEBEN,completed,DRAINAGE DONE,SAMSONIC CONCEPT LTD,2.29E+07,1.30E+07,3.59E+07,3.59E+07,1569330432565.jpg,1569330446329.jpg,19,41,0,yes,yes,yes,n/a,100
edo,n/a,n/a,esan central,n/a,SPOT IMPROVEMENT  AND CLEANING,MOMODU ROAD IRRUA,completed,JOB DONE,YONSUS GLOBAL VENTURES LIMITED,1.09E+07,1.30E+07,2.38E+07,2.38E+07,1569326459373.jpg,1569326484194.jpg,11,49,0,yes,yes,yes,n/a,100
edo,n/a,n/a,igueben,n/a,ASPHALT OVERLAY,IDUMOGO AMAHOR VILLAGE ROAD AMAHOR,completed,ASPHALT DONE,JEZUWA NIG LTD,4.23E+07,3.46E+07,7.69E+07,7.69E+07,1569333627819.jpg,1569333649599.jpg,85,75,0,yes,yes,yes,n/a,100
edo,n/a,n/a,uhunmwonde,n/a,ASHALT OVERLAY AND DRAINAGE CONSTRUCTION,OLD POLICE STATION  BUILDING ROAD OFF OLD LAGOS ROAD EHOR,completed,ASPHALT DONE,PASSION BLADE,3.62E+07,3.67E+07,7.29E+07,7.29E+07,1569317696317.jpg,1569317719082.jpg,80,90,0,yes,yes,yes,n/a,100
edo,n/a,n/a,esan south eas,n/a,ASPHALT OVERLAY,IDUMUHUJIE LINK TO NEW ROAD EWOHIMI,completed,ASPHALT DONE,IKPSAJA NIG VENTURES,2.41E+07,1.19E+07,3.60E+07,36017960,1569411227339.jpg,1569411245041.jpg,27,28,0,n/a,n/a,n/a,n/a,0
edo,n/a,n/a,igueben,n/a,ASPHALT OVERLAY AND DRAINAGE CONSTRUCTION,OKUTA ROAD EBELLE,completed,ASPHALT AND DRAINAGE DONE,KENZOK NIG LTD,6.41E+07,4.32E+07,1.07E+08,107281405,1569337237603.jpg,1569337252911.jpg,143,57,0,yes,yes,yes,n/a,100
edo,n/a,n/a,ovia north eas,n/a,RECLAMATION OF FAILED PORTION USING CONCRETE PAVEMENT,OKOKHUO EMA VILLAGE ROAD FROM OKOKHUO NO DUGBO TO EMA,completed,COMPLETED,OSKING VENTURES,3.46E+07,2.16E+07,56234586,56234586,1568630215916.jpg,1568630340217.jpg,95,80,0,yes,yes,yes,n/a,100
edo,n/a,n/a,esan south eas,n/a,ASPHALT OVERLAY ,IDUMAGHO ROAD OKAEBEN EWOHIMI,on going,WORK COMPLETED ,FRANGHILE AGENCY ,4.79E+07,3.46E+07,8.25E+07,82450557,1569410305833.jpg,1569410079520.jpg,93,67,0,yes,yes,yes,n/a,100
edo,n/a,n/a,esan north eas,n/a,SPOT IMPROVEMENT AND CLEAN,UGBONI ROAD UROMI ,completed,WORK COMPLETED ,KENZOK NIGERIA LIMITED ,1.04E+07,1.73E+07,2.77E+07,27729296,1569421472586.jpg,1569421491507.jpg,47,33,0,yes,yes,yes,n/a,100
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili north,n/a,n/a,DE SILTING AND VEGETATION CONTROL,ASABA BENIN EXPRESS  WAY FROM ASABA DUMPSITE TO OKPANAM JUNCTION,completed,12 MONTH ACTIVITIES ON VEGETATION CONTROL AND DESILTING OF DRAINS,CHLEZ ENGINEERING SERVICES LIMITED,7838376.85,2.13E+07,2.91E+07,29102287,1569077607001.jpg,1569077657352.jpg,37,59,0,n/a,n/a,n/a,n/a,100
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili north,n/a,n/a,ROAD CONSTRUCTION SECTION 2,OBODOGWUGWU LAYOUT OKPANAM PHASE 2,completed,12 MONTH ACTIVITY THAT INVOLVES ROAD CONSTRUCTION,INTEGRATED ADVANCED QUEST LIMITED,2.22E+07,2.03E+07,4.25E+07,4.25E+07,1569079189676.jpg,1569079220723.jpg,40,41,0,n/a,n/a,n/a,n/a,100
delta,n/a,sapele,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
